Turkish Translation,English Sentence
Onlar parayı harcamalı.,They should spend the money.
Sen kitabı okumalıydın.,You should have opened the book.
"İşçiler modemi tamir etmeli, aksi takdirde internet olmayacak.","The workers should repair the modem, otherwise there will be no internet."
"Hemşireler ilacı hazırlamalıydı ama onlar hiçbir şey hazırlamadı.","The nurses should have prepared the medicine, but they prepared nothing."
Pilotlar uçağı izlemeli.,The pilots should watch the plane.
"Müdürler evi boyamalıydı, bu yüzden şimdi o eski görünüyor.","The managers should have painted the house, so it looks old now."
Hiçkimse o yemeği yememeli.,Nobody should eat that food.
Sen polisi beklemeliydin.,You should have watched for the police.
Öğrenciler her şeyi öğrenmeli.,The students should learn everything.
"Onlar sokağı izlemeliydi, yoksa birisi motosikleti alabilirdi.","They should have watched the street, or somebody could have taken the motorbike."
Biz ekmek satın almalıyız.,We should buy bread.
"Avukatlar dosyayı kaydetmeliydi ama onlar hiçbir şeyi kaydetmedi.","The lawyers should have saved the file, but they saved nothing."
Hiçkimse uçağı almamalıydı.,Nobody should have taken the plane.
Öğretmenler dizüstü bilgisayarı göstermeli.,The teachers should show the laptop.
"Sen yemeği hazırlamalıydın, bu yüzden biz şimdi açız.","You should have prepared the meal, so we are hungry now."
İşçiler her şeyi tamir etmeli.,The workers should repair everything.
Onlar ilacı vermemeliydi.,They should not have given the medicine.
"Pilotlar her yeri izlemeli, aksi takdirde bir sorun olabilir.","The pilots should watch everywhere, otherwise there can be a problem."
Sen modemi kapatmalıydın.,You should have closed the modem.
Biz bir şey hazırlamalıyız.,We should prepare something.
