Turkish Translation,English Sentence
Noel’den dolayı öğrenciler mutlu olacak.,The students will be happy due to Christmas.
Yağmura rağmen işçiler evi boyadı.,The workers painted the house despite the rain.
Toplantıdan sonra biz her şeyi kontrol ettik.,We checked everything after the meeting.
Uçuştan önce pilotlar kokpitteydi.,The pilots were in the cockpit before the flight.
Salgından beri hemşireler hastanedeydi.,The nurses have been in the hospital since the epidemic.
Akşama kadar müdürler ofiste kalacak.,The managers will stay in the office until evening.
Film boyunca herkes sessizdi.,Everybody was silent during the film.
Davadan dolayı avukatlar meşguldü.,The lawyers were busy due to the court case.
Bahar’dan beri biz tenis oynuyoruz.,We have played tennis since Spring.
Öğleden önce sen modemi tamir etmelisin.,You should repair the modem before noon.
Kışa kadar onlar burada çalıştı.,They worked here until Winter.
Karanlığa rağmen polisler sokağı izledi.,The police watched the street despite the darkness.
Öğle yemeğinden sonra hostesler yemeği hazırladı.,The hostesses prepared the food after lunch.
İşten dolayı biz çok yorgunduk.,We were very tired due to work.
Fırtınaya rağmen hiçkimse dışarı çıkmadı.,Nobody walked outside despite the storm.
Pazartesi’den beri doktorlar burada.,The doctors have been here since Monday.
Kazadan sonra elektrikçiler modemi kapattı.,The electricians closed the modem after the accident.
Bayramdan sonra her yer yeni görünecek.,Everything will look new after the holiday.
Mola boyunca pilotlar uyuyordu.,The pilots were sleeping during the break.
Akşam yemeğinden önce sen hazır olmalısın.,You should be ready before dinner.
