Turkish Translation,English Sentence
Hava kararıyordu.,It was getting dark.
İşçiler yorulmuştu.,The workers had gotten tired.
Pilotlar heyecanlanırdı.,The pilots used to get excited.
Öğrenciler sıkılıyordu.,The students were getting bored.
Avukatlar sinirlenmişti.,The lawyers had gotten angry.
İşçiler her gün yorgun düşerdi.,The workers used to get tired every day.
Biz hazırlanıyorduk.,We were getting ready.
Elektrikçiler mutlu olmuştu.,The electricians had gotten happy.
Sen sabırsızlanıyordun.,You were getting impatient.
Müdürler ciddileşirdi.,The managers used to get serious.
Hava soğumuştu.,The weather had gotten cold.
Polisler dikkatli oluyordu.,The police were getting careful.
Onlar zenginleşmişti.,They had gotten rich.
Öğretmenler üzülürdü.,The teachers used to get sad.
Yemekler soğuyordu.,The meals were getting cold.
Biz ümitsizliğe kapılmıştık.,We had gotten hopeless.
Sen geç kalırdın.,You used to get late.
Her şey karmaşıklaşıyordu.,Everything was getting complicated.
İşçiler hazırlanmıştı.,The workers had gotten ready.
Pilotlar sessizleşirdi.,The pilots used to get quiet.
