Turkish Translation,English Sentence
Birisi arabayı tamir etti.,Somebody repaired the car.
Hiçkimse kitabı açmadı.,Nobody opened the book.
Herkes uçağı izliyor.,Everybody watches the plane.
Hostesler (bir) şey hazırlıyor.,The hostesses prepare something.
Öğrenciler hiçbir şey getirmiyor.,The students bring nothing.
Müdür her şeyi satacak.,The manager will sell everything.
Öğretmenler kitabı bir yere götürecek.,The teachers will take the book somewhere.
Polis her yeri izledi.,The police watched everywhere.
Elektrikçiler hiçbir yeri tamir etmiyor.,The electricians repair nowhere.
Herkes ilaç satın alacak.,Everyone will buy medicine.
(Bir) şey var.,There is something.
Hiçbir şey yok.,There is nothing.
Birisi vardı.,There was somebody.
Hiçkimse yoktu.,There was nobody.
Her şey olacak.,There will be everything.
Doktorların (bir) şeyi var.,The doctors have something.
Avukatların hiçbir şeyi yok.,The lawyers have nothing.
Herkesin (bir) dizüstü bilgisayarı olacak.,Everybody will have (a) laptop.
Hiçkimsenin (bir) motosikleti yoktu.,Nobody had (a) motorbike.
Birisinin öğle yemeği olacak.,Somebody will have lunch.
