Turkish Translation,English Sentence
Doktorlar ilacı hazırlamak zorundaydı.,The doctors had to prepare the medicine.
Oto tamircileri arabayı tamir etmek zorunda değildi.,The car mechanics didn't have to repair the car.
Öğrenciler kitapları açmak zorunda mıydı?,Did the students have to open the books?
Hiçkimse uçağı izlemek zorunda değildi.,Nobody had to watch the plane.
Müdür her şeyi satmak zorundaydı.,The manager had to sell everything.
Birisi yemeği getirmek zorundaydı.,Somebody had to bring the food.
Avukatlar hiçbir şeyi kaydetmek zorunda değildi.,The lawyers had to save nothing.
Hemşireler ilacı vermek zorunda.,The nurses have to give the medicine.
Pilotlar uçağı almak zorunda değil.,The pilots don't have to take the plane.
Hostesler öğle yemeğini getirmek zorunda mı?,Do the hostesses have to bring the lunch?
Elektrikçiler bir şeyi tamir etmek zorunda.,The electricians have to repair something.
Müdürler hiçbir şey satın almak zorunda değil.,The managers have to buy nothing.
Öğrenciler her yeri boyamak zorunda mı?,Do the students have to paint everywhere?
Öğretmenler her şeyi kapatmak zorunda.,The teachers have to close everything.
Elektrikçi modemi tamir etmek zorunda kalacak.,The electrician will have to repair the modem.
Polis motosikleti izlemek zorunda kalmayacak.,The police won't have to watch the motorbike.
Avukatlar dizüstü bilgisayarı göstermek zorunda kalacak mı?,Will the lawyers have to show the laptop?
Birisi eti kesmek zorunda kalacak.,Somebody will have to cut the meat.
Hiçkimse evi satın almak zorunda kalmayacak.,Nobody will have to buy the house.
Doktorlar ilacı bir yere götürmek zorunda kalacak.,The doctors will have to take the medicine somewhere.
