Turkish Translation,English Sentence
İşçiler evi dikkatli bir şekilde boyadı.,The workers painted the house in a careful way.
Öğrenciler YouTube izleyerek her şeyi öğrendiler.,The students learned everything by watching YouTube.
Hemşireler ilacı hızlı bir şekilde hazırladı.,The nurses prepared the medicine in a quick way.
Doktorlar ilacı vererek yardım ettiler.,The doctors helped by giving the medicine.
Pilotlar kokpiti sessiz bir şekilde izledi.,The pilots watched the cockpit in a quiet way.
Elektrikçiler modemi tamir ederek sorunu çözdü.,The electricians solved the problem by repairing the modem.
Avukatlar dosyayı güvenli bir şekilde kaydetti.,The lawyers saved the file in a safe way.
Onlar parayı harcayarak anlaşmayı bitirdi.,They finished the deal by spending the money.
Polisler sokağı kötü bir şekilde izledi.,The police watched the street in a bad way.
Hostesler yemeği hazırlayarak servis ettiler.,The hostesses served the meal by preparing the food.
Sen modemi yavaş bir şekilde kapattın.,You closed the modem in a slow way.
Biz tenis oynayarak eğlendik.,We enjoyed ourselves by playing tennis.
Onlar kapıyı sert bir şekilde kapattı.,They closed the door in a hard way.
Öğretmenler dizüstü bilgisayarı kullanarak gösterdi.,The teachers showed the lesson by using the laptop.
Hiçkimse yardım etmeyerek başarısız oldu.,Nobody failed by helping nothing.
İşçiler her şeyi yorgun bir şekilde tamir etti.,The workers repaired everything in a tired way.
Polisler sokağı izleyerek motosikleti buldu.,The police located the motorbike by watching the street.
Sen yemeği mutlu bir şekilde hazırlamalısın.,You should prepare the food in a happy way.
Biz dosyayı kaydederek kontrol ettik.,We checked the file by saving the data.
Müdürler evi ucuz bir şekilde satın alabildi.,The managers could buy the house in a cheap way.
