Turkish Translation,English Sentence
Doktor ilacı hazırladı.,The doctor prepared the medicine.
Öğrenci kitabı açtı.,The student opened the book.
Oto tamircisi arabayı tamir etti.,The car mechanic repaired the car.
Öğretmen dizüstü bilgisayarı gösterdi.,The teacher showed the laptop.
Hemşire bloğu boyadı.,The nurse painted the block.
Pilot uçağı izledi.,The pilot watched the plane.
Hostes evi kapattı.,The hostess closed the house.
Elektrikçi arabayı tamir etmedi.,The electrician didn't repair the car.
Avukat kitabı açmadı.,The lawyer didn't open the book.
Öğrenciler öğle yemeği yemiyor.,The students don't eat lunch.
Hostesler ekmek getirmiyor.,The hostesses don't bring bread.
Polis motosikleti satın almayacak.,The police won't buy the motorbike.
Müdür parayı harcamayacak.,The manager won't spend the money.
Elektrikçi kabloyu kesmedi.,The electrician didn't cut the cable.
Öğretmen filmi izledi mi?,Did the teacher watch the film?
Oto tamircisi arabayı kapattı mı?,Did the car mechanic close the car?
Pilotlar öğle yemeği getiriyor mu?,Do the pilots bring lunch?
Hemşireler ilaç veriyor mu?,Do the nurses give medicine?
Avukat evi satacak mı?,Will the lawyer sell the house?
Elektrikçi modemi açacak mı?,Will the electrician open the modem?
