Turkish Translation,English Sentence
Biz boyanmış eve baktık.,We looked at the painted house.
Çalışan elektrikçiler modemi tamir etti.,The working electricians repaired the modem.
Avukatlar kaydedilmiş dosyayı açtı.,The lawyers opened the saved file.
Bekleyen hastalar hemşireleri izledi.,The waiting patients watched the nurses.
Doktorlar hazırlanmış ilacı kullandı.,The doctors used the prepared medicine.
Oynayan öğrenciler öğretmeni dinlemedi.,The playing students didn't listen to the teacher.
Müdürler tamir edilmiş dizüstü bilgisayarı kontrol etti.,The managers checked the repaired laptop.
İzleyen polisler motosikleti fark etti.,The watching police noticed the motorbike.
Hostesler hazırlanmış yemeği servis etti.,The hostesses served the prepared meal.
Dinlenen pilotlar kokpitte kaldı.,The resting pilots stayed in the cockpit.
Onlar kapatılmış kapıyı açamadı.,They couldn't open the closed door.
Bekleyen müdür dosyayı istedi.,The waiting manager wanted the file.
İşçiler boyanmış evi beğendi.,The workers liked the painted house.
Gülümseyen hostesler yolculara yardım etti.,The smiling hostesses helped the passengers.
Öğretmenler tamir edilmiş modemi kullandı.,The teachers used the repaired modem.
Konuşan öğrenciler dizüstü bilgisayarı izlemedi.,The talking students didn't watch the laptop.
Polisler park edilmiş motosikleti kontrol etti.,The police checked the parked motorbike.
Gelen doktorlar kapıyı açtı.,The arriving doctors opened the door.
Avukatlar kaydedilmiş bir dosya aradı.,The lawyers searched for a saved file.
Dinlenen işçiler evi boyamadı.,The resting workers didn't paint the house.
