Turkish Translation,English Sentence
(Bir) kitap var.,There is (a) book.
(Bir) modem vardı.,There was (a) modem.
Öğle yemeği olacak.,There will be lunch.
Ekmek yok.,There isn't bread.
(Bir) araba yoktu.,There wasn't (a) car.
(Bir) toplantı olmayacak.,There won't be (a) meeting.
(Bir) dizüstü bilgisayar var mı?,Is there (a) laptop?
Yiyecek var mıydı?,Was there food?
Et olacak mı?,Will there be meat?
Motosikletler vardı.,There were motorbikes.
Öğrencilerin kitapları var.,The students have books.
Müdürün (bir) evi vardı.,The manager had (a) house.
Doktorun ilacı olacak.,The doctor will have medicine.
Pilotların zamanı yok.,The pilots don't have time.
Avukatın (bir) dizüstü bilgisayarı yoktu.,The lawyer didn't have (a) laptop.
Oto tamircisinin (bir) arabası olmayacak.,The car mechanic won't have (a) car.
Hosteslerin öğle yemeği var mı?,Do the hostesses have lunch?
Elektrikçinin (bir) modemi var mıydı?,Did the electrician have (a) modem?
Polisin (bir) motosikleti olacak mı?,Will the police have (a) motorbike?
Hemşirelerin zamanı var mı?,Do the nurses have time?
