Turkish Translation,English Sentence
"İşçiler evi boyadı, bu yüzden her şey yeni görünüyor.","The workers painted the house, so everything looks new."
"Hemşireler ilacı hazırladı ve sonra onlar ilacı hastalara verdi.","The nurses prepared the medicine, and then they gave the medicine to patients."
"Öğrenciler kitapları açtı ama hiçbir şey okumadılar.","The students opened the books, but they read nothing."
"Elektrikçiler modemi tamir etti, bu yüzden biz her şeyi kaydedebildik.","The electricians repaired the modem, so we could save everything."
"Hostesler yiyecek getirdi ama pilotların yemek için zamanı yok.","The hostesses brought food, but the pilots don't have time to eat."
"Polisler sokağı izledi, bu yüzden hiçkimse motosikleti alamadı.","The police watched the street, so nobody could take the motorbike."
"Öğretmenler dizüstü bilgisayarı gösterdi, sonra biz bir şey izledik.","The teachers showed the laptop, then we watched something."
"Onlar evi boyadı, aksi takdirde hiçkimse evi satın almayacak.","They painted the house, otherwise nobody will buy the house."
"Hemşirelerin zamanı var, bu yüzden onlar her şeyi hazırlayabilecek.","The nurses have time, so they will be able to prepare everything."
"Kasaplar eti kesti ve hostesler akşam yemeğini hazırladı.","The butchers cut the meat, and the hostesses prepared the dinner."
"Biz ekmek getirmek zorundayız, yoksa öğle yemeği için hiçbir şey olmayacak.","We have to bring bread, or there will be nothing for lunch."
"Elektrikçiler modemi kapattı, bu yüzden hiçkimse hiçbir şeyi kaydedemedi.","The electricians closed the modem, so nobody could save nothing."
"Müdürler parayı harcadı ama işçiler hiçbir şeyi tamir etmedi.","The managers spent the money, but the workers repaired nothing."
"Onlar her şeyi hazırladı, sonra pilotlar uçağı alabildi.","They prepared everything, then the pilots could take the plane."
"Polisler sokağı izlemek zorunda, aksi takdirde birisi motosikleti alabilir.","The police have to watch the street, otherwise somebody can take the motorbike."
"Avukatlar dosyayı kaydetti, bu yüzden müdürler her şeyi izleyebilecek.","The lawyers saved the file, so the managers will be able to watch everything."
"Öğretmenler dizüstü bilgisayarı açtı ve her şeyi gösterdi.","The teachers opened the laptop and showed everything."
"Hiçkimse yiyecek getirmedi, bu yüzden onlar bir şey hazırlamak zorunda kaldı.","Nobody brought food, so they had to prepare something."
"Doktorlar ilacı hazırlayacak veya biz hiçbir şey yapamayacağız.","The doctors will prepare the medicine, or we will be able to do nothing."
"Birisi uçağı boyadı, bu yüzden o yeni görünüyor.","Somebody painted the plane, so it looks new."
