Turkish Translation,English Sentence
Hemşireler ilacı ne zaman hazırladı?,When did the nurses prepare the medicine?
Oto tamircileri arabaları nerede tamir etti?,Where did the car mechanics repair the cars?
Öğrenciler kitapları neden açtı?,Why did the students open the books?
Öğretmenler dizüstü bilgisayarları nasıl gösterdi?,How did the teachers show the laptops?
Müdürler hangi evleri satın aldı?,Which houses did the managers buy?
Doktorlar ne kadar ilaç verdi?,How much medicine did the doctors give?
Elektrikçiler ne tamir etti?,What did the electricians repair?
Pilotlar uçakları ne zaman izliyor?,When do the pilots watch the planes?
Hostesler öğle yemeğini nereye getiriyor?,Where do the hostesses bring the lunch?
Polisler bloğu neden izliyor?,Why do the police watch the block?
Avukatlar dizüstü bilgisayarları neden alıyor?,Why do the lawyers take the laptops?
Oto tamircileri hangi arabaları satıyor?,Which cars do the car mechanics sell?
Öğrenciler ne kadar ekmek alıyor?,How much bread do the students buy?
Öğretmenler neyi kapatıyor?,What do the teachers close?
Müdürler evleri ne zaman satacak?,When will the managers sell the houses?
Elektrikçiler modemleri nereye getirecek?,Where will the electricians bring the modems?
Hemşireler ilacı neden verecek?,Why will the nurses give the medicine?
Doktorlar eti nasıl kesecek?,How will the doctors cut the meat?
Hostesler ne kadar yiyecek hazırlayacak?,How much food will the hostesses prepare?
Öğrenciler neyi boyayacak?,What will the students paint?
