Turkish Translation,English Sentence
Evi boyamak için işçiler her şeyi hazırladı.,The workers prepared everything in order to paint the house.
Öğrenciler YouTube izleyebilsin diye öğretmenler dizüstü bilgisayarı açtı.,The teachers opened the laptop so that the students could watch YouTube.
İlacı vermek için hemşireler odayı hazırladı.,The nurses prepared the room in order to give the medicine.
Doktorlar hastaya yardım edebilsin diye hemşireler odayı temizledi.,The nurses cleaned the room so that the doctors could help the patient.
Modemi tamir etmek için elektrikçiler ofise geldi.,The electricians arrived at the office in order to repair the modem.
Avukatlar dosyayı kaydedebilsin diye elektrikçiler modemi tamir etti.,The electricians repaired the modem so that the lawyers could save the file.
Uçağı kontrol etmek için pilotlar kokpite girdi.,The pilots entered the cockpit in order to check the plane.
Yolcular uçağa binebilsin diye pilotlar kapıyı açtı.,The pilots opened the door so that the passengers could board the plane.
Evi satmak için işçiler her yeri boyadı.,The workers painted everywhere in order to sell the house.
Polisler yolu izleyebilsin diye işçiler sokağı temizledi.,The workers cleaned the street so that the police could watch the road.
Tenis oynamak için biz korta gittik.,We walked to the court in order to play tennis.
İşçiler motosikleti tamir edebilsin diye müdürler parçaları sağladı.,The managers provided the parts so that the workers could repair the motorbike.
Dersi göstermek için öğretmenler dizüstü bilgisayarı açtı.,The teachers opened the laptop in order to show the lesson.
Öğrenciler her şeyi öğrenebilsin diye öğretmenler her şeyi gösterdi.,The teachers showed everything so that the students could learn everything.
Dosyayı kaydetmek için avukatlar dizüstü bilgisayarı kullandı.,The lawyers used the laptop in order to save the file.
Hostesler yemeği servis edebilsin diye işçiler yiyecek hazırladı.,The workers prepared food so that the hostesses could serve the meal.
Motosikleti izlemek için polisler sokağın sonunda bekledi.,The police stayed at the end of the street in order to watch the motorbike.
Hırsızlar girmesin diye polisler sokağı izledi.,The police watched the street so that thieves couldn't enter.
Yeni bir dizüstü bilgisayar almak için öğrenci para biriktirdi.,The student saved money in order to buy a new laptop.
Müdürler her şeyi izleyebilsin diye avukatlar dosyayı kaydetti.,The lawyers saved the file so that the managers could watch everything.
