Turkish Translation,English Sentence
Müdürler işçilerin arabayı tamir ettiğini fark etti.,The managers noticed that the workers repaired the car.
Herkes hemşirelerin ilacı hazırladığını öğrendi.,Everybody learned that the nurses prepared the medicine.
Polisler elektrikçilerin kapıyı kapatıp kapatmadığını kontrol etti.,The police checked if the electricians closed the door.
Öğretmenler öğrencilerin dizüstü bilgisayarı açıp açmadığını sordu.,The teachers asked if the students opened the laptop.
Hiçkimse avukatların dosyayı neden kaydettiğini açıklayamadı.,Nobody could explain why the lawyers saved the file.
Pilotlar hosteslerin yemeği nerede hazırladığını kontrol etti.,The pilots checked where the hostesses prepared the food.
Öğrenciler öğretmenin ne gösterdiğini izledi.,The students watched what the teacher showed.
İşçiler evi nasıl boyadığını açıkladı.,The workers explained how they painted the house.
Doktorlar hastayı kontrol ettiklerini hatırladı.,The doctors remembered that they checked the patient.
Biz işçilerin modemi tamir edip etmediğini bilmek istiyoruz.,We want to know if the workers repaired the modem.
Avukatlar polislerin sokağı ne zaman izlediğini sordu.,The lawyers asked when the police watched the street.
Hiçkimse kokpiti kimin açtığını fark etmedi.,Nobody noticed who opened the cockpit.
Biz elektrikçilerin her şeyi tamir edeceğini umuyoruz.,We hope that the electricians will repair everything.
Hostesler pilotların kapıyı neden kapattığını sordu.,The hostesses asked why the pilots closed the door.
Ben öğrencilerin nerede tenis oynadığını bilmiyorum.,I don't know where the students play tennis.
Polisler işçilerin neyi tamir ettiğini fark etti.,The police noticed what the workers repaired.
Biz hemşirelerin odayı hazırlayıp hazırlamadığını kontrol edeceğiz.,We will check if the nurses prepared the room.
Öğretmen öğrencilerin dizüstü bilgisayarı nasıl kullanabileceğini gösterdi.,The teacher showed how the students could use the laptop.
Doktorlar hemşirelerin ilacı ne zaman hazırladığını hatırlayamadı.,The doctors couldn't remember when the nurses prepared the medicine.
Herkes işçilerin evi boyadığını fark etti.,Everybody noticed that the workers painted the house.
