Turkish Translation,English Sentence
Öğrenciler kitapları açıyordu.,The students were opening the books.
İşçiler evi boyardı.,The workers used to paint the house.
Hemşireler ilacı hazırlamıştı.,The nurses had prepared the medicine.
Polis sokağı izlemiyordu.,The police wasn't watching the street.
Pilotlar uçağı almazdı.,The pilots didn't use to take the plane.
Avukatlar dosyayı kaydetmemişti.,The lawyers hadn't saved the file.
Sen modemi mi tamir ediyordun?,Were you repairing the modem?
Onlar burada mı çalışırdı?,Did they use to work here?
Doktorlar yemeği bitirmiş miydi?,Had the doctors finished the meal?
Hostesler akşam yemeğini hazırlıyordu.,The hostesses were preparing the dinner.
Ben tenis oynardım.,I used to play tennis.
Elektrikçiler her şeyi tamir etmişti.,The electricians had repaired everything.
Müdürler hiçbir şey satın almıyordu.,The managers were buying nothing.
Sen hiçbir şey hazırlamamıştın.,You had prepared nothing.
Polisler her yeri izlerdi.,The police used to watch everywhere.
Hostesler uçağa binmiş miydi?,Had the hostesses boarded the plane?
İşçiler kapıları kapatıyordu.,The workers were closing the doors.
Biz bu ofiste çalışırdık.,We used to work in this office.
Öğretmen dizüstü bilgisayarı göstermişti.,The teacher had showed the laptop.
Hiçkimse yardım etmiyordu.,Nobody was helping.
