Turkish Translation,English Sentence
Oto tamircisi arabayı tamir edebilir.,The car mechanic can repair the car.
Doktorlar ilacı hazırlayabildi.,The doctors could prepare the medicine.
Pilotlar uçağı alabilecek.,The pilots will be able to take the plane.
Öğrenciler kitapları açamaz.,The students can't open the books.
Elektrikçi modemi tamir edemedi.,The electrician couldn't repair the modem.
Müdürler evi satın alamayacak.,The managers won't be able to buy the house.
Öğretmenler dizüstü bilgisayarları gösterebilir mi?,Can the teachers show the laptops?
Polis bloğu izleyebildi mi?,Could the police watch the block?
Hemşireler ilacı verebilecek mi?,Will the nurses be able to give the medicine?
Hostesler bir şey getirebilir.,The hostesses can bring something.
Avukatlar hiçbir şey kaydedemez.,The lawyers can save nothing.
Hiçkimse eti kesemedi.,Nobody could cut the meat.
Herkes ekmek satın alabilecek.,Everybody will be able to buy bread.
Müdür evi hiçbir yerde satamaz.,The manager can sell the house nowhere.
Pilot her yeri izleyebildi.,The pilot could watch everywhere.
Elektrikçiler her şeyi tamir edebilecek.,The electricians will be able to repair everything.
Birisi kitabı açabilir mi?,Can somebody open the book?
Öğretmenler dizüstü bilgisayarları bir yere götürebildi mi?,Could the teachers take the laptops somewhere?
Hiçkimse evi boyayamayacak.,Nobody will be able to paint the house.
Doktorlar hiçbir şey hazırlayamaz.,The doctors can prepare nothing.
