Turkish Translation,English Sentence
İşçiler evi boyuyor.,The workers have been painting the house.
Avukatlar dosyayı kaydetmiyor.,The lawyers haven't been saving the file.
Pilotlar kokpiti izliyor mu?,Have the pilots been watching the cockpit?
Hemşirelerin ilacı hazırlaması serbestti.,The nurses were allowed to prepare the medicine.
Elektrikçilerin modemi tamir etmeleri yasaktı.,The electricians weren't allowed to repair the modem.
Öğrencilerin dizüstü bilgisayarı kullanması serbest.,The students are allowed to use the laptop.
Doktorların hastayı kontrol etmesi serbest olacak.,The doctors will be allowed to check the patient.
Müdürlerin evi boyamaları yasak olacak.,The managers won't be allowed to paint the house.
Öğretmenler dersi gösteriyor.,The teachers have been showing the lesson.
Polisler sokağı izlemiyor.,The police haven't been watching the street.
Hostesler yemeği hazırlıyor mu?,Have the hostesses been preparing the meal?
İşçilerin kapıyı kapatması serbest miydi?,Were the workers allowed to close the door?
Avukatların dosyayı açmaları yasak.,The lawyers aren't allowed to open the file.
Pilotların uçağı kontrol etmesi serbest mi olacak?,Will the pilots be allowed to check the plane?
Elektrikçiler modemi tamir ediyor.,The electricians have been repairing the modem.
Öğrenciler öğretmeni dinlemiyor.,The students haven't been listening to the teacher.
Müdürler işçileri izliyor mu?,Have the managers been watching the workers?
Polislerin yolu kapatmaları yasaktı.,The police weren't allowed to close the road.
Hosteslerin dinlenmesi serbest mi?,Are the hostesses allowed to rest?
Öğrencilerin YouTube izlemeleri yasak olacak.,The students won't be allowed to watch YouTube.
