Turkish Translation,English Sentence
"Öğretmen bir şey gösterdi, onlar kitabı açtığında.","The teacher showed something when they opened the book."
"İşçiler evi boyamadılar, yorgun olmasından dolayı.","The workers didn't paint the house because they were tired."
"Pilotlar kokpiti izliyordu, hostesler yemeği hazırlıyorken.","The pilots were watching the cockpit while the hostesses were preparing the food."
"Polisler sokağı izledi, yağmur yağmasına rağmen.","The police watched the street although it rained."
"Doktorlar ilacı verdi, hemşireler ilacı hazırladıktan sonra.","The doctors gave the medicine after the nurses prepared the medicine."
"İşçiler her şeyi tamir etmişti, müdürler evi satmadan önce.","The workers had repaired everything before the managers sold the house."
"Biz her şeyi kaydedebildik, elektrikçiler modemi tamir ettiğinde.","We could save everything when the electricians repaired the modem."
"Avukatlar mutlu olacaklar, dosyayı kaydetmesinden dolayı.","The lawyers will be happy because they saved the file."
"Biz her gün tenis oynardık, burada yaşıyorken.","We used to play tennis every day while we were living here."
"Ben çoktan okumuştum, sen kitabı açtığında.","I had already read it when you opened the book."
"Öğrenciler dışarıda oynuyordu, hava soğuk olmasına rağmen.","The students were playing outside although the weather was cold."
"Birisi motosikleti almıştı, polisler gelmeden önce.","Somebody had taken the motorbike before the police arrived."
"Onlar başarılı oldular, çok çalışmasından dolayı.","They were successful because they worked hard."
"Biz çoktan gelmiştik, sen yemeği hazırladığında.","We had already arrived when you prepared the meal."
"Hostesler her şeyi kontrol ediyordu, pilotlar uçağı alıyorken.","The hostesses were checking everything while the pilots were taking the plane."
"Elektrikçiler modemi tamir edebildi, ofis kapalı olmasına rağmen.","The electricians could repair the modem although the office was closed."
"Hiçkimse hiçbir şeyi kaydedemedi, sen modemi kapattığında.","Nobody could save nothing when you closed the modem."
"Hemşireler odayı hazırlamıştı, doktorlar gelmeden önce.","The nurses had prepared the room before the doctors arrived."
"Müdürler her zaman oradaydı, biz o ofiste çalışıyorken.","The managers were always there while we were working in that office."
"Her şey yeni görünecek, işçiler her şeyi tamir ettiğinde.","Everything will look new when the workers repair everything."
